PC=000000e0, REG[12]=0000ff48
PC=000000e4, REG[15]=00000000
PC=000000e8, REG[10]=0000ffa8
PC=000000ec, REG[11]=0000ff78
PC=000000f0, ---
PC=000000f4, REG[18]=0000ff70
PC=000000f8, REG[ 6]=00000000
PC=000000fc, REG[15]=00000000
PC=00000100, REG[12]=0000ff4c
PC=00000104, REG[16]=00000003
PC=00000108, REG[15]=00000000
PC=0000010c, REG[10]=0000ffac
PC=00000110, REG[11]=0000ff7c
PC=00000114, ---
PC=00000118, REG[ 6]=0000000c
PC=0000011c, REG[19]=0000ffa0
PC=00000120, ---
PC=000000b8, REG[ 6]=00000000
PC=000000bc, REG[15]=00000000
PC=000000c0, REG[12]=0000ff50
PC=000000c4, REG[15]=00000000
PC=000000c8, REG[10]=0000ffb0
PC=000000cc, REG[11]=0000ff80
PC=000000d0, ---
PC=000000d4, REG[17]=00000000
PC=000000d8, REG[ 6]=00000000
PC=000000dc, REG[15]=00000000
PC=000000e0, REG[12]=0000ff54
PC=000000e4, REG[15]=00000000
PC=000000e8, REG[10]=0000ffb4
PC=000000ec, REG[11]=0000ff84
PC=000000f0, ---
PC=000000f4, REG[18]=0000ff70
PC=000000f8, REG[ 6]=00000000
PC=000000fc, REG[15]=00000000
PC=00000100, REG[12]=0000ff58
PC=00000104, REG[16]=00000006
PC=00000108, REG[15]=00000000
PC=0000010c, REG[10]=0000ffb8
PC=00000110, REG[11]=0000ff88
PC=00000114, ---
PC=00000118, REG[ 6]=0000000c
PC=0000011c, REG[19]=0000ffa0
PC=00000120, ---
PC=000000b8, REG[ 6]=00000000
PC=000000bc, REG[15]=00000000
PC=000000c0, REG[12]=0000ff5c
PC=000000c4, REG[15]=00000000
PC=000000c8, REG[10]=0000ffbc
PC=000000cc, REG[11]=0000ff8c
PC=000000d0, ---
PC=000000d4, REG[17]=00000000
PC=000000d8, REG[ 6]=00000000
PC=000000dc, REG[15]=00000000
PC=000000e0, REG[12]=0000ff60
PC=000000e4, REG[15]=00000000
PC=000000e8, REG[10]=0000ffc0
PC=000000ec, REG[11]=0000ff90
PC=000000f0, ---
PC=000000f4, REG[18]=0000ff70
PC=000000f8, REG[ 6]=00000000
PC=000000fc, REG[15]=00000000
PC=00000100, REG[12]=0000ff64
PC=00000104, REG[16]=00000009
PC=00000108, REG[15]=00000000
PC=0000010c, REG[10]=0000ffc4
PC=00000110, REG[11]=0000ff94
PC=00000114, ---
PC=00000118, REG[ 6]=0000000c
PC=0000011c, REG[19]=0000ffa0
PC=00000120, ---
PC=000000b8, REG[ 6]=00000000
PC=000000bc, REG[15]=00000000
PC=000000c0, REG[12]=0000ff68
PC=000000c4, REG[15]=00000000
PC=000000c8, REG[10]=0000ffc8
PC=000000cc, REG[11]=0000ff98
PC=000000d0, ---
PC=000000d4, REG[17]=00000000
PC=000000d8, REG[ 6]=00000000
PC=000000dc, REG[15]=00000000
PC=000000e0, REG[12]=0000ff6c
PC=000000e4, REG[15]=00000000
PC=000000e8, REG[10]=0000ffcc
PC=000000ec, REG[11]=0000ff9c
PC=000000f0, ---
PC=000000f4, REG[18]=0000ff70
PC=000000f8, REG[ 6]=00000000
PC=000000fc, REG[15]=00000000
PC=00000100, REG[12]=0000ff70
PC=00000104, REG[16]=0000000c
PC=00000108, REG[15]=00000000
PC=0000010c, REG[10]=0000ffd0
PC=00000110, REG[11]=0000ffa0
PC=00000114, ---
PC=00000118, REG[ 6]=0000000c
PC=0000011c, REG[19]=0000ffa0
PC=00000120, ---
PC=00000124, REG[18]=0001ff10
PC=00000128, REG[17]=00000000
PC=0000012c, REG[13]=0001ff10
PC=00000130, ---
PC=00000134, ---
PC=00000244, REG[10]=0001ff10
PC=00000248, REG[10]=00000000
PC=0000024c, REG[ 2]=0000ffd0
PC=00000250, REG[ 1]=00000090
PC=00000254, REG[ 8]=00010000
PC=00000258, REG[ 9]=00000000
PC=0000025c, REG[18]=00000000
PC=00000260, REG[19]=00000000
PC=00000264, REG[20]=00000000
PC=00000268, REG[21]=00000000
PC=0000026c, REG[22]=00000000
