PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7d8
PC=000002a8, REG[14]=0000f3d8
PC=000002ac, REG[10]=0000baf1
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=00000007
PC=000002bc, REG[ 9]=0000001c
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=0a9734cb
PC=00000354, REG[14]=a8e4baf1
PC=00000358, REG[15]=ddebfcaf
PC=0000035c, REG[12]=ddebfcb0
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=7720c3af
PC=00000374, REG[14]=83376b5d
PC=00000378, REG[13]=032b12f0
PC=0000037c, REG[14]=fa582f0c
PC=00000380, REG[14]=fd8341fc
PC=00000384, REG[15]=fd8341fc
PC=00000388, REG[10]=fb0683f8
PC=0000038c, ---
PC=00000390, REG[10]=7d8341fc
PC=00000394, ---
PC=0000028c, REG[15]=0000fbdc
PC=00000290, REG[10]=000041fc
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=ddebfcb0
PC=00000354, REG[14]=fd8341fc
PC=00000358, REG[15]=6746baf0
PC=0000035c, REG[12]=6746baf1
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=63032af0
PC=00000374, REG[14]=e57a9d4c
PC=00000378, REG[13]=4263a79d
PC=0000037c, REG[14]=487dc83c
PC=00000380, REG[14]=8ae16fd9
PC=00000384, REG[15]=8ae16fd9
PC=00000388, REG[10]=15c2dfb2
PC=0000038c, ---
PC=00000390, REG[10]=0ae16fd9
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7dc
PC=000002a8, REG[14]=0000f3dc
PC=000002ac, REG[10]=00006fd9
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=00000008
PC=000002bc, REG[ 9]=00000020
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=6746baf1
PC=00000354, REG[14]=8ae16fd9
PC=00000358, REG[15]=98716b5d
PC=0000035c, REG[12]=98716b5e
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=8fdd905d
PC=00000374, REG[14]=c56a5025
PC=00000378, REG[13]=1ee54ef8
PC=0000037c, REG[14]=5547e082
PC=00000380, REG[14]=742d2f7a
PC=00000384, REG[15]=742d2f7a
PC=00000388, REG[10]=e85a5ef4
PC=0000038c, ---
PC=00000390, REG[10]=742d2f7a
PC=00000394, ---
PC=0000028c, REG[15]=0000fbe0
PC=00000290, REG[10]=00002f7a
PC=00000294, ---
PC=00000298, REG[ 1]=00000298
PC=0000029c, REG[ 1]=000002a0
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
PC=0000034c, REG[11]=4c957f2d
PC=00000350, REG[13]=98716b5e
PC=00000354, REG[14]=742d2f7a
PC=00000358, REG[15]=75e98186
PC=0000035c, REG[12]=75e98187
PC=00000360, REG[15]=00000000
PC=00000364, ---
PC=00000368, REG[12]=5851f000
PC=0000036c, REG[12]=5851f42d
PC=00000370, REG[12]=2f037786
PC=00000374, REG[14]=b080de72
PC=00000378, REG[13]=2d9ab19e
PC=0000037c, REG[14]=df8455f8
PC=00000380, REG[14]=0d1f0796
PC=00000384, REG[15]=0d1f0796
PC=00000388, REG[10]=1a3e0f2c
PC=0000038c, ---
PC=00000390, REG[10]=0d1f0796
PC=00000394, ---
PC=000002a0, REG[15]=00000010
PC=000002a4, REG[13]=0000f7e0
PC=000002a8, REG[14]=0000f3e0
PC=000002ac, REG[10]=00000796
PC=000002b0, ---
PC=000002b4, ---
PC=000002b8, REG[27]=00000009
PC=000002bc, REG[ 9]=00000024
PC=000002c0, ---
PC=00000284, REG[ 1]=00000284
PC=00000288, REG[ 1]=0000028c
PC=00000340, REG[15]=00001000
PC=00000344, REG[16]=00000400
PC=00000348, REG[11]=4c958000
